status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
... >= 200 DM / salary for at least 1 year,12.0,existing credits paid back duly till now,domestic appliances,3399.0,unknown/no savings account,... >= 7 years,2.0,male : single,none,3.0,car or other,37.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,no,yes,1
... >= 200 DM / salary for at least 1 year,12.0,delay in paying off in the past,car (new),2247.0,,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,2.0,car or other,36.0,stores,own,2.0,skilled employee/official,1.0,yes,yes,1
no checking account,6.0,existing credits paid back duly till now,radio/television,1766.0,... < 100 DM,1 <= ... < 4 years,1.0,male : married/widowed,none,2.0,building society savings agreement/life insurance,21.0,none,rent,1.0,skilled employee/official,,no,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,radio/television,,... < 100 DM,,4.0,male : single,none,1.0,,25.0,none,own,1.0,unemployed/unskilled - non-resident,1.0,no,,0
no checking account,12.0,existing credits paid back duly till now,,1542.0,... < 100 DM,4 <= ... < 7 years,2.0,,none,4.0,car or other,36.0,none,,,skilled employee/official,1.0,yes,yes,1
no checking account,18.0,critical account/other credits existing,,3850.0,... < 100 DM,4 <= ... < 7 years,3.0,male : single,none,1.0,,27.0,none,own,,skilled employee/official,,,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,radio/television,3650.0,... < 100 DM,... < 1 year,1.0,female : divorced/separated/married,none,,car or other,22.0,,rent,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,36.0,,radio/television,3446.0,... < 100 DM,... >= 7 years,4.0,male : single,none,2.0,car or other,42.0,none,own,1.0,,2.0,no,yes,0
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,radio/television,3001.0,... < 100 DM,4 <= ... < 7 years,2.0,female : divorced/separated/married,none,4.0,real estate,40.0,none,rent,1.0,skilled employee/official,1.0,,yes,1
no checking account,36.0,existing credits paid back duly till now,car (new),,unknown/no savings account,1 <= ... < 4 years,,male : single,none,4.0,real estate,36.0,none,own,1.0,skilled employee/official,1.0,,yes,1
no checking account,18.0,critical account/other credits existing,domestic appliances,6070.0,,... >= 7 years,3.0,male : single,none,4.0,car or other,33.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
no checking account,10.0,critical account/other credits existing,radio/television,2146.0,... < 100 DM,... < 1 year,1.0,female : divorced/separated/married,none,3.0,real estate,23.0,none,rent,2.0,skilled employee/official,1.0,,yes,1
no checking account,60.0,critical account/other credits existing,car (new),13756.0,unknown/no savings account,... >= 7 years,2.0,male : single,none,4.0,unknown/no property,63.0,bank,,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
0 <= ... < 200 DM,60.0,all credits at this bank paid back duly,furniture/equipment,14782.0,100 <= ... < 500 DM,... >= 7 years,3.0,female : divorced/separated/married,,4.0,unknown/no property,60.0,bank,for free,,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
... < 100 DM,48.0,all credits at this bank paid back duly,others,7685.0,... < 100 DM,4 <= ... < 7 years,2.0,female : divorced/separated/married,guarantor,4.0,car or other,37.0,none,rent,1.0,skilled employee/official,1.0,no,yes,0
no checking account,18.0,delay in paying off in the past,,,... < 100 DM,unemployed,2.0,male : married/widowed,none,3.0,real estate,34.0,none,own,,skilled employee/official,1.0,no,yes,1
no checking account,7.0,delay in paying off in the past,domestic appliances,846.0,unknown/no savings account,... >= 7 years,,male : single,none,4.0,unknown/no property,36.0,none,for free,1.0,,1.0,,yes,1
,36.0,existing credits paid back duly till now,car (new),14318.0,... < 100 DM,... >= 7 years,4.0,male : single,none,2.0,unknown/no property,,,,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
no checking account,6.0,,car (new),362.0,100 <= ... < 500 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,,4.0,car or other,52.0,none,own,,unskilled - resident,1.0,no,yes,1
... < 100 DM,20.0,existing credits paid back duly till now,,,unknown/no savings account,4 <= ... < 7 years,4.0,male : single,none,4.0,car or other,39.0,none,own,1.0,,1.0,yes,yes,1
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (used),12976.0,... < 100 DM,unemployed,3.0,female : divorced/separated/married,none,4.0,unknown/no property,38.0,,,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
no checking account,,existing credits paid back duly till now,car (new),1283.0,unknown/no savings account,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,,none,rent,1.0,skilled employee/official,1.0,no,yes,1
... >= 200 DM / salary for at least 1 year,12.0,existing credits paid back duly till now,car (new),1330.0,... < 100 DM,... < 1 year,4.0,male : single,none,1.0,real estate,26.0,none,own,1.0,,1.0,no,yes,1
no checking account,30.0,delay in paying off in the past,others,4272.0,100 <= ... < 500 DM,1 <= ... < 4 years,2.0,male : single,none,2.0,building society savings agreement/life insurance,26.0,none,own,2.0,,1.0,no,yes,1
no checking account,18.0,critical account/other credits existing,domestic appliances,2238.0,... < 100 DM,1 <= ... < 4 years,2.0,female : divorced/separated/married,,1.0,car or other,25.0,none,own,,skilled employee/official,1.0,no,yes,1
,,,domestic appliances,1126.0,unknown/no savings account,,4.0,female : divorced/separated/married,none,2.0,real estate,21.0,none,rent,1.0,skilled employee/official,1.0,,,1
0 <= ... < 200 DM,18.0,critical account/other credits existing,radio/television,7374.0,... < 100 DM,unemployed,4.0,male : single,none,4.0,building society savings agreement/life insurance,40.0,stores,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
0 <= ... < 200 DM,15.0,critical account/other credits existing,others,,500 <= ... < 1000 DM,1 <= ... < 4 years,2.0,male : single,none,4.0,car or other,27.0,bank,own,1.0,skilled employee/official,1.0,no,yes,1
no checking account,9.0,existing credits paid back duly till now,others,1449.0,... < 100 DM,4 <= ... < 7 years,3.0,female : divorced/separated/married,none,2.0,car or other,27.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,18.0,existing credits paid back duly till now,car (new),1820.0,... < 100 DM,,2.0,male : married/widowed,none,,building society savings agreement/life insurance,30.0,none,own,1.0,management/self-employed/highly qualified employee/officer,,yes,yes,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,radio/television,983.0,,... < 1 year,1.0,female : divorced/separated/married,none,4.0,real estate,19.0,none,rent,1.0,unskilled - resident,1.0,no,,1
,36.0,existing credits paid back duly till now,car (new),3249.0,,4 <= ... < 7 years,2.0,male : single,none,4.0,unknown/no property,39.0,,for free,1.0,management/self-employed/highly qualified employee/officer,2.0,,yes,1
... < 100 DM,6.0,critical account/other credits existing,domestic appliances,1957.0,... < 100 DM,4 <= ... < 7 years,,female : divorced/separated/married,none,,car or other,31.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
no checking account,9.0,critical account/other credits existing,radio/television,2406.0,... < 100 DM,unemployed,2.0,male : single,,3.0,car or other,31.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,no,yes,1
0 <= ... < 200 DM,39.0,delay in paying off in the past,retraining,11760.0,100 <= ... < 500 DM,4 <= ... < 7 years,2.0,male : single,none,3.0,unknown/no property,32.0,none,rent,1.0,skilled employee/official,,,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,radio/television,2578.0,... < 100 DM,unemployed,3.0,female : divorced/separated/married,none,4.0,unknown/no property,55.0,none,,1.0,management/self-employed/highly qualified employee/officer,1.0,no,yes,1
... < 100 DM,36.0,critical account/other credits existing,radio/television,2348.0,... < 100 DM,1 <= ... < 4 years,3.0,male : married/widowed,none,2.0,building society savings agreement/life insurance,46.0,,own,2.0,,1.0,yes,yes,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,car (new),1223.0,... < 100 DM,... >= 7 years,1.0,,none,1.0,real estate,46.0,,rent,2.0,skilled employee/official,1.0,no,yes,0
no checking account,24.0,critical account/other credits existing,domestic appliances,1516.0,... >= 1000 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,,real estate,,none,own,,unskilled - resident,1.0,no,yes,1
no checking account,18.0,existing credits paid back duly till now,domestic appliances,1473.0,... < 100 DM,,3.0,,none,4.0,real estate,,none,own,1.0,skilled employee/official,,,yes,1
0 <= ... < 200 DM,18.0,critical account/other credits existing,others,1887.0,unknown/no savings account,1 <= ... < 4 years,,male : married/widowed,none,4.0,real estate,28.0,bank,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,24.0,delay in paying off in the past,others,8648.0,... < 100 DM,... < 1 year,2.0,male : single,none,2.0,car or other,27.0,bank,own,,skilled employee/official,1.0,yes,yes,0
no checking account,14.0,delay in paying off in the past,car (new),802.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,2.0,,27.0,,own,2.0,unskilled - resident,1.0,no,yes,1
0 <= ... < 200 DM,18.0,delay in paying off in the past,car (new),2899.0,unknown/no savings account,... >= 7 years,4.0,male : single,none,4.0,car or other,43.0,,,1.0,skilled employee/official,2.0,no,yes,1
0 <= ... < 200 DM,,existing credits paid back duly till now,domestic appliances,2039.0,... < 100 DM,... < 1 year,1.0,,none,1.0,building society savings agreement/life insurance,22.0,,own,1.0,skilled employee/official,1.0,yes,yes,0
no checking account,24.0,critical account/other credits existing,car (used),2197.0,unknown/no savings account,4 <= ... < 7 years,4.0,male : single,none,4.0,car or other,43.0,none,,2.0,skilled employee/official,2.0,yes,,1
... < 100 DM,15.0,existing credits paid back duly till now,domestic appliances,1053.0,... < 100 DM,... < 1 year,,male : married/widowed,,2.0,real estate,27.0,none,own,1.0,skilled employee/official,1.0,,no,1
no checking account,24.0,existing credits paid back duly till now,domestic appliances,3235.0,500 <= ... < 1000 DM,... >= 7 years,3.0,male : divorced/separated,none,2.0,car or other,26.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,,1
... >= 200 DM / salary for at least 1 year,12.0,,car (new),939.0,,4 <= ... < 7 years,4.0,male : married/widowed,none,2.0,real estate,,none,own,,skilled employee/official,1.0,yes,yes,0
0 <= ... < 200 DM,24.0,existing credits paid back duly till now,domestic appliances,,... < 100 DM,,4.0,female : divorced/separated/married,,,car or other,20.0,none,own,,,,yes,yes,1
no checking account,33.0,critical account/other credits existing,car (used),7253.0,... < 100 DM,4 <= ... < 7 years,3.0,male : single,none,,car or other,35.0,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
no checking account,12.0,critical account/other credits existing,others,2292.0,... < 100 DM,unemployed,4.0,male : single,none,2.0,car or other,42.0,stores,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
no checking account,10.0,existing credits paid back duly till now,car (new),1597.0,500 <= ... < 1000 DM,1 <= ... < 4 years,3.0,male : single,,2.0,,,none,rent,1.0,unskilled - resident,,no,no,1
... < 100 DM,24.0,existing credits paid back duly till now,car (new),1381.0,,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,2.0,building society savings agreement/life insurance,35.0,none,own,1.0,skilled employee/official,1.0,no,yes,0
no checking account,,critical account/other credits existing,car (used),5842.0,... < 100 DM,... >= 7 years,2.0,male : single,none,2.0,building society savings agreement/life insurance,35.0,none,own,2.0,,2.0,yes,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,car (new),2579.0,,... < 1 year,,male : single,none,1.0,,33.0,none,own,,unskilled - resident,2.0,no,yes,0
... < 100 DM,18.0,delay in paying off in the past,retraining,,unknown/no savings account,1 <= ... < 4 years,1.0,female : divorced/separated/married,,2.0,car or other,23.0,none,,2.0,skilled employee/official,,yes,,1
no checking account,,,car (new),2782.0,500 <= ... < 1000 DM,4 <= ... < 7 years,,female : divorced/separated/married,none,2.0,car or other,31.0,bank,own,1.0,management/self-employed/highly qualified employee/officer,1.0,no,yes,1
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),1042.0,unknown/no savings account,1 <= ... < 4 years,4.0,female : divorced/separated/married,,2.0,building society savings agreement/life insurance,33.0,none,own,,skilled employee/official,1.0,no,yes,0
,15.0,existing credits paid back duly till now,car (new),3186.0,,4 <= ... < 7 years,2.0,female : divorced/separated/married,none,3.0,car or other,20.0,none,rent,1.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,,2028.0,unknown/no savings account,1 <= ... < 4 years,4.0,male : single,none,2.0,car or other,30.0,none,own,,,1.0,no,yes,1
0 <= ... < 200 DM,12.0,critical account/other credits existing,car (new),958.0,... < 100 DM,4 <= ... < 7 years,2.0,male : single,none,3.0,real estate,47.0,none,own,,,2.0,no,yes,1
no checking account,21.0,delay in paying off in the past,radio/television,1591.0,,4 <= ... < 7 years,4.0,male : single,none,3.0,real estate,34.0,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,no,yes,1
0 <= ... < 200 DM,,existing credits paid back duly till now,radio/television,2762.0,unknown/no savings account,... >= 7 years,1.0,female : divorced/separated/married,none,2.0,,25.0,,own,1.0,,1.0,yes,yes,0
0 <= ... < 200 DM,,existing credits paid back duly till now,car (used),,... < 100 DM,1 <= ... < 4 years,1.0,male : married/widowed,none,3.0,car or other,21.0,none,rent,,skilled employee/official,1.0,,yes,1
no checking account,28.0,critical account/other credits existing,domestic appliances,2743.0,... < 100 DM,... >= 7 years,4.0,male : single,none,2.0,car or other,29.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,,critical account/other credits existing,domestic appliances,1149.0,... >= 1000 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,real estate,46.0,none,own,2.0,skilled employee/official,,no,yes,1
,9.0,existing credits paid back duly till now,,1313.0,... < 100 DM,... >= 7 years,1.0,male : single,none,4.0,car or other,20.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,18.0,critical account/other credits existing,education,1190.0,,unemployed,2.0,female : divorced/separated/married,none,4.0,unknown/no property,55.0,none,for free,3.0,unemployed/unskilled - non-resident,2.0,no,,0
,5.0,existing credits paid back duly till now,,3448.0,... < 100 DM,4 <= ... < 7 years,1.0,male : single,none,4.0,real estate,74.0,none,own,1.0,unskilled - resident,1.0,no,yes,1
0 <= ... < 200 DM,,,furniture/equipment,11328.0,,1 <= ... < 4 years,2.0,male : single,co-applicant,3.0,car or other,29.0,bank,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
... < 100 DM,6.0,critical account/other credits existing,radio/television,1872.0,,unemployed,,,none,4.0,unknown/no property,36.0,none,for free,3.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
no checking account,24.0,critical account/other credits existing,,2058.0,... < 100 DM,1 <= ... < 4 years,4.0,male : divorced/separated,none,2.0,real estate,33.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
